ID_BCT,TYPE_ID_BCT,CODE_BCT,MONT_ENCR_CRDT,CODE_OPERATION,STATUT_DECLR,DATE_MODIFICATION,DAT_SIT
BCT725719984765,01,0220,2661.199,N,1,,20250930
BCT088826492325,01,0220,918.448,N,1,,20250930
BCT688831326170,01,0220,2214.555,N,1,,20250930
BCT265931956675,01,0220,1705.116,N,1,,20250930
BCT947386090432,01,0220,2477.257,N,1,,20250930
BCT970433231099,01,0220,1333.636,N,1,,20250930
BCT250932710290,01,0220,1584.869,N,1,,20250930
BCT265931956675,01,0220,1702.133,N,1,,20250930
BCT088826492325,01,0220,911.678,N,1,,20250930
BCT897413175615,01,0220,2646.867,N,1,,20250930
BCT043863246213,01,0220,1978.168,N,1,,20250930
BCT805088329984,01,0220,1531.138,N,1,,20250930
BCT488912358811,01,0220,1772.324,N,1,,20250930
BCT182814532325,01,0220,991.123,N,1,,20250930
BCT550581373341,01,0220,852.444,N,1,,20250930
BCT182814532325,01,0220,988.823,N,1,,20250930
BCT451356749888,01,0220,4303.856,N,1,,20250930
BCT143051596140,01,0220,1797.899,N,1,,20250930
BCT832394521817,01,0220,16389.396,N,1,,20250930
BCT151075591338,01,0220,217741.94,N,1,,20250930
BCT642590493194,01,0220,53616.312,N,1,,20250930
BCT586365894032,01,0220,42535.996,N,1,,20250930
BCT574748194906,01,0220,2618.455,N,1,,20250930
BCT289523970723,01,0220,2664.04,N,1,,20250930
BCT303149315711,01,0220,2723.875,N,1,,20250930
BCT528901878786,01,0220,4208.944,N,1,,20250930
BCT012877752125,01,0220,41927.056,N,1,,20250930
BCT536514431725,01,0220,86063.405,N,1,,20250930
BCT254755324779,01,0220,44685.371,N,1,,20250930
BCT805088329984,01,0220,12037.733,N,1,,20250930
BCT088826492325,01,0220,16945.847,N,1,,20250930
BCT784751549189,01,0220,45298.896,N,1,,20250930
BCT688831326170,01,0220,32299.409,N,1,,20250930
BCT947386090432,01,0220,31067.5,N,1,,20250930
BCT077237025587,01,0220,37542.914,N,1,,20250930
BCT077237025587,01,0220,18724.112,N,1,,20250930
BCT158593617407,01,0220,78327.839,N,1,,20250930
BCT239499318503,01,0220,48800.438,N,1,,20250930
BCT239499318503,01,0220,29238.953,N,1,,20250930
BCT033125123808,01,0220,121672.623,N,1,,20250930
BCT179682119438,01,0220,31140.034,N,1,,20250930
BCT011978776899,01,0220,239403.91,N,1,,20250930
BCT158593617407,01,0220,2200.0,N,1,,20250930
BCT158593617407,01,0220,4280.0,N,1,,20250930
BCT158593617407,01,0220,4280.0,N,1,,20250930
BCT158593617407,01,0220,4280.0,N,1,,20250930
BCT158593617407,01,0220,12182.606,N,1,,20250930
BCT158593617407,01,0220,2713.808,N,1,,20250930
BCT158593617407,01,0220,4500.0,N,1,,20250930
BCT158593617407,01,0220,489.249,N,1,,20250930
BCT158593617407,01,0220,4445.678,N,1,,20250930
BCT158593617407,01,0220,4480.0,N,1,,20250930
BCT158593617407,01,0220,1310.0,N,1,,20250930
BCT158593617407,01,0220,4480.0,N,1,,20250930
BCT158593617407,01,0220,3029.885,N,1,,20250930
BCT158593617407,01,0220,2240.0,N,1,,20250930
BCT158593617407,01,0220,2240.0,N,1,,20250930
BCT158593617407,01,0220,914.506,N,1,,20250930
BCT158593617407,01,0220,5770.809,N,1,,20250930
BCT158593617407,01,0220,945.384,N,1,,20250930
BCT158593617407,01,0220,1713.206,N,1,,20250930
BCT158593617407,01,0220,4407.684,N,1,,20250930
BCT158593617407,01,0220,1002.664,N,1,,20250930
BCT158593617407,01,0220,4573.03,N,1,,20250930
BCT158593617407,01,0220,11414.464,N,1,,20250930
BCT158593617407,01,0220,1068.0,N,1,,20250930
BCT158593617407,01,0220,1070.906,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,4480.0,N,1,,20250930
BCT158593617407,01,0220,1065.912,N,1,,20250930
BCT158593617407,01,0220,2650.0,N,1,,20250930
BCT158593617407,01,0220,2650.0,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,1650.0,N,1,,20250930
BCT158593617407,01,0220,2650.0,N,1,,20250930
BCT158593617407,01,0230,63000.0,N,1,,20250930
BCT158593617407,01,0230,88000.0,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,20423.621,N,1,,20250930
BCT158593617407,01,0220,3899.431,N,1,,20250930
BCT158593617407,01,0220,2727.195,N,1,,20250930
BCT158593617407,01,0220,3899.431,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,798.981,N,1,,20250930
BCT158593617407,01,0220,2664.436,N,1,,20250930
BCT158593617407,01,0220,3180.0,N,1,,20250930
BCT158593617407,01,0220,1279.83,N,1,,20250930
BCT158593617407,01,0220,3899.431,N,1,,20250930
BCT158593617407,01,0220,3899.431,N,1,,20250930
BCT158593617407,01,0220,1000.0,N,1,,20250930
BCT158593617407,01,0220,6042.189,N,1,,20250930
BCT158593617407,01,0220,2992.825,N,1,,20250930
BCT158593617407,01,0220,9180.987,N,1,,20250930
BCT158593617407,01,0220,21820.164,N,1,,20250930
BCT623294913475,01,0220,3460.786,N,1,,20250930
BCT623294913475,01,0220,6439.524,N,1,,20250930
BCT623294913475,01,0220,1519.094,N,1,,20250930
BCT623294913475,01,0220,3000.0,N,1,,20250930
BCT623294913475,01,0220,1820.695,N,1,,20250930
BCT623294913475,01,0220,1774.925,N,1,,20250930
BCT623294913475,01,0220,4940.88,N,1,,20250930
BCT623294913475,01,0220,7363.197,N,1,,20250930
BCT158593617407,01,0220,3492.693,N,1,,20250930
BCT158593617407,01,0220,1792.631,N,1,,20250930
BCT158593617407,01,0220,2082.601,N,1,,20250930
BCT158593617407,01,0220,3500.0,N,1,,20250930
BCT158593617407,01,0220,3143.926,N,1,,20250930
BCT158593617407,01,0220,6930.0,N,1,,20250930
BCT158593617407,01,0220,71000.0,N,1,,20250930
BCT158593617407,01,0220,1154.485,N,1,,20250930
BCT158593617407,01,0220,841.28,N,1,,20250930
BCT158593617407,01,0220,2900.0,N,1,,20250930
BCT918721697152,01,0220,40000.0,N,1,,20250930
BCT158593617407,01,0220,2500.0,N,1,,20250930
BCT158593617407,01,0220,6092.0,N,1,,20250930
BCT158593617407,01,0220,2500.0,N,1,,20250930
BCT158593617407,01,0220,14437.622,N,1,,20250930
BCT158593617407,01,0220,1090.586,N,1,,20250930
BCT158593617407,01,0220,5318.403,N,1,,20250930
BCT158593617407,01,0220,6074.923,N,1,,20250930
BCT158593617407,01,0220,1749.674,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,1152.0,N,1,,20250930
BCT158593617407,01,0220,6094.125,N,1,,20250930
BCT158593617407,01,0220,2748.085,N,1,,20250930
BCT158593617407,01,0220,2700.0,N,1,,20250930
BCT158593617407,01,0220,2894.939,N,1,,20250930
BCT158593617407,01,0220,2518.823,N,1,,20250930
BCT158593617407,01,0220,1310.379,N,1,,20250930
BCT158593617407,01,0220,6092.0,N,1,,20250930
BCT158593617407,01,0220,2500.0,N,1,,20250930
BCT158593617407,01,0220,2500.0,N,1,,20250930
BCT158593617407,01,0220,3500.0,N,1,,20250930
BCT158593617407,01,0220,2900.0,N,1,,20250930
BCT158593617407,01,0220,5400.0,N,1,,20250930
BCT158593617407,01,0220,2242.026,N,1,,20250930
BCT158593617407,01,0220,1607.725,N,1,,20250930
BCT158593617407,01,0220,1310.0,N,1,,20250930
BCT158593617407,01,0220,2494.03,N,1,,20250930
BCT158593617407,01,0220,5000.0,N,1,,20250930
BCT158593617407,01,0220,1548.576,N,1,,20250930
BCT158593617407,01,0220,3500.0,N,1,,20250930
BCT158593617407,01,0220,2000.0,N,1,,20250930
BCT158593617407,01,0220,3283.326,N,1,,20250930
BCT158593617407,01,0220,5400.0,N,1,,20250930
BCT158593617407,01,0220,2500.0,N,1,,20250930
BCT158593617407,01,0220,81000.0,N,1,,20250930
BCT158593617407,01,0220,4000.0,N,1,,20250930
BCT158593617407,01,0220,6092.0,N,1,,20250930
BCT158593617407,01,0220,3500.0,N,1,,20250930
BCT158593617407,01,0220,5300.0,N,1,,20250930
BCT158593617407,01,0220,2700.0,N,1,,20250930
BCT158593617407,01,0220,137000.0,N,1,,20250930
BCT158593617407,01,0220,1082.369,N,1,,20250930
BCT158593617407,01,0220,700.0,N,1,,20250930
BCT158593617407,01,0220,2504.768,N,1,,20250930
BCT158593617407,01,0220,1018.114,N,1,,20250930
BCT158593617407,01,0220,750.0,N,1,,20250930
BCT158593617407,01,0220,5400.0,N,1,,20250930
BCT158593617407,01,0220,2876.344,N,1,,20250930
BCT158593617407,01,0220,700.0,N,1,,20250930
BCT158593617407,01,0220,7125.741,N,1,,20250930
BCT158593617407,01,0220,2299.877,N,1,,20250930
BCT158593617407,01,0220,700.0,N,1,,20250930
BCT158593617407,01,0220,2485.046,N,1,,20250930
BCT158593617407,01,0220,4488.44,N,1,,20250930
BCT158593617407,01,0220,4627.976,N,1,,20250930
BCT158593617407,01,0220,1535.315,N,1,,20250930
BCT158593617407,01,0220,4553.828,N,1,,20250930
BCT158593617407,01,0220,2567.133,N,1,,20250930
BCT158593617407,01,0220,2383.162,N,1,,20250930
BCT158593617407,01,0220,1563.235,N,1,,20250930
BCT158593617407,01,0220,2500.0,N,1,,20250930
BCT158593617407,01,0220,112000.0,N,1,,20250930
BCT158593617407,01,0220,4830.0,N,1,,20250930
BCT158593617407,01,0220,5400.0,N,1,,20250930
BCT158593617407,01,0220,5800.0,N,1,,20250930
BCT158593617407,01,0220,4830.0,N,1,,20250930
BCT158593617407,01,0220,3100.0,N,1,,20250930
BCT158593617407,01,0220,2615.334,N,1,,20250930
BCT158593617407,01,0220,5910.311,N,1,,20250930
BCT158593617407,01,0220,833.167,N,1,,20250930
BCT158593617407,01,0220,1270.158,N,1,,20250930
BCT158593617407,01,0220,2615.334,N,1,,20250930
BCT158593617407,01,0220,2615.334,N,1,,20250930
BCT158593617407,01,0220,2615.334,N,1,,20250930
